x,alpha,beta,y
2.534791836,2.79084509,2.846600337,0.070413039
1.441973671,2.526511329,2.339023797,0.081421135
2.456865792,1.990518493,2.605359294,0.141603652
1.896069068,1.646208092,2.178908967,0.195341946
2.599858639,1.523501979,1.164773195,0.158089305
2.960128921,1.2363554,1.531216974,0.121432679
1.128688984,2.824927988,1.254964568,0.156013971
1.591393031,1.667047459,1.502187323,0.265648762
2.794925463,1.895784009,2.542329221,0.148509826
2.490551674,2.780228699,1.109966522,0.244248147
1.304492438,1.701350004,1.194301321,0.328767661
1.496332636,1.066613194,1.624916777,0.252359304
2.141775933,1.668108781,2.388680765,0.175833202
1.850929168,2.934331349,2.443551548,0.059509179
1.372135313,2.027098443,2.97832327,0.094443503
1.366521046,2.596003742,2.210117737,0.079413624
1.994081229,1.352952023,1.570808213,0.218434791
1.567403795,2.071150824,1.05055038,0.318410604
2.048671604,2.04309121,1.390548309,0.242294301
2.593306735,2.632263835,2.740143911,0.088371259
2.102009117,2.32737744,1.791481364,0.179960901
1.95862661,1.623143334,1.769736431,0.222034342
1.662872268,1.95844001,1.019108972,0.312127737
2.291252099,1.964219162,1.341270641,0.229729099
1.623585843,2.784166188,1.552794849,0.148146458
2.443815473,2.788237135,1.799563841,0.148798189
1.588563719,1.000733794,1.942702718,0.227293578
1.125820831,1.206554747,1.288059057,0.343782316
1.334138277,1.768207954,1.089798064,0.34128854
2.158214879,1.802245596,1.187426647,0.237030433
2.91046223,1.416577672,1.360867112,0.134037487
1.222751453,2.025923305,1.500173989,0.236547106
2.833192871,1.371242906,2.224933859,0.154746109
2.139310617,2.619008357,2.116288154,0.120657769
1.364005531,2.222953081,2.390157985,0.106711954
1.008584247,1.8615125,1.211036723,0.32312348
1.842885156,2.73457655,2.162344065,0.094101402
1.119146071,1.18470378,2.100848403,0.269666057
2.328860623,2.054651091,1.861245646,0.190108703
1.495806136,1.17494127,1.570202416,0.263266953
1.331482716,1.021106507,1.385727259,0.279123088
2.984306436,2.503262455,1.642429743,0.182240337
1.675351167,2.932641411,1.436368625,0.155214239
2.077808351,1.89731592,1.258237685,0.248815625
2.410284766,1.674883974,2.775886742,0.152014282
2.435715816,2.576389453,2.371482886,0.112109219
1.695150086,2.553109423,2.019711957,0.11800244
1.079595789,1.855945966,2.685405751,0.120533162
2.919657299,2.748655936,1.815169662,0.15760622
2.002514106,1.539333405,2.626374963,0.172785661
2.312867832,1.320365559,2.0719134,0.18302437
1.887816444,1.308383148,1.140233615,0.218310522
2.297290129,2.109130379,2.860440175,0.116814728
2.754965415,2.98012585,2.690350136,0.071248665
2.732383387,2.668297242,1.55522615,0.188598115
1.674008404,1.07450998,1.544149324,0.22901814
1.797848231,1.814625741,2.438989518,0.163600071
2.243744415,2.97832047,2.904255579,0.048681746
1.164869142,2.964284702,1.969635605,0.051745112
2.75453831,2.700026896,2.813597286,0.083377264
1.963596308,1.280681265,1.238607354,0.209028373
1.215029026,1.638987871,1.430607918,0.299768714
1.724770931,2.984035717,2.595703097,0.044699375
2.367512469,1.664467006,1.248053801,0.203842383
2.597725082,1.274503659,2.956300187,0.150370706
2.551044004,2.215538617,1.917181996,0.175566389
2.505227029,2.06907771,2.754320497,0.12811913
1.295541159,2.288009886,1.569940301,0.18811029
2.400545973,2.238323133,2.882811163,0.106842475
1.386305852,2.63704928,2.662651532,0.052130916
1.718423435,1.751618461,2.577018358,0.159767623
2.546574031,1.73385719,2.176722719,0.174771966
1.157000126,2.478783255,2.266800922,0.074780743
1.688921734,2.429136379,1.377820065,0.225048184
2.701877688,2.117108322,1.227639408,0.206271936
1.080971873,2.752506902,2.346865504,0.04287225
2.823997334,2.850888642,2.882242057,0.071634805
1.100937926,2.039634524,2.43215009,0.112734097
1.856448461,1.008868648,2.801564397,0.18425771
2.343000487,2.874026991,2.21106206,0.097821098
1.453160033,2.068676911,2.856125555,0.099169926
1.880237833,2.339099047,2.955367954,0.08180062
2.336244372,1.20667216,1.242944894,0.152683158
2.830958643,1.655631292,1.412764884,0.167058211
1.931019471,2.364968421,1.969074984,0.152715147
1.130130888,2.412509328,2.348401527,0.074784305
1.00183215,2.688693405,2.411865387,0.040548658
1.634296526,1.599623604,2.323699635,0.193036798
2.054413127,1.817775129,2.236082766,0.1778396
1.489717638,2.531504771,2.938061232,0.053289785
2.495749474,1.154242505,2.133618321,0.160002208
2.294371193,2.092483414,2.526211127,0.137804665
2.071133113,2.373921364,2.035619559,0.14889827
2.228038486,1.900222829,2.317116031,0.165585858
1.485516352,1.189712833,2.675113528,0.208344405
2.737218615,2.862111399,1.841711666,0.14532173
2.839401051,1.040124717,1.196331805,0.082402462
2.000514304,2.753034126,1.927478101,0.121649984
1.363857415,2.911885468,1.443343587,0.130866388
1.881208772,1.802287046,1.999093574,0.199476858
2.428447233,2.977768472,1.578918288,0.162665091
1.573000944,1.668951414,1.251622589,0.293338628
1.325534073,2.041152824,1.262864058,0.286355468
1.688146046,1.196531375,1.87379551,0.231070918
2.008246792,1.725232076,1.785398929,0.216782209
2.181629993,1.074168532,2.280693246,0.174488773
1.845109139,1.215151511,2.673720308,0.189425541
2.865769914,1.352610167,2.655150618,0.14758148
2.203112617,1.735884651,2.827414808,0.147439292
1.236589486,1.593277116,1.630330134,0.273118402
2.713097995,1.658696696,2.311039139,0.164922116
1.321879006,2.943949831,1.949780896,0.0643595
2.593692516,2.991358297,2.888356449,0.057375517
1.855750212,1.151457055,2.243986823,0.203072417
2.413388412,1.554460431,2.165990442,0.180920161
2.033144632,1.373654286,1.642679063,0.215087914
2.532518164,1.052723001,2.274150511,0.149368215
1.583579139,1.047885432,2.962441454,0.196958787
2.082989134,1.357963583,1.625350184,0.209638924
2.497159599,2.069964567,2.250212458,0.158739666
2.984848721,2.076693246,2.23925,0.15505887
1.687941227,1.584937403,1.507571339,0.25933191
2.884247072,2.875774535,2.635307214,0.084099087
2.696862405,1.767846596,2.186022764,0.169542256
1.079175705,2.449259654,1.21084297,0.223341065
1.634640411,2.050707684,2.732440987,0.114691032
2.474973113,2.112764111,2.826734607,0.120724839
1.730073076,1.244190996,2.133381629,0.218078465
1.233261992,1.664454935,2.185843766,0.197151113
1.16689517,2.099080665,1.708191381,0.185928808
2.194153433,2.643343264,2.834931952,0.07226252
2.148848265,1.999092644,2.823599707,0.125997468
1.335249211,1.238265146,1.223933657,0.308276371
1.254792783,2.042723594,1.290744179,0.279300406
1.756000736,1.464758249,1.913290888,0.226501521
1.259498667,2.925794956,2.003619558,0.058229046
2.399503905,2.492762938,2.185868663,0.132634673
1.941096914,1.437793298,2.795630706,0.171891852
2.977781239,1.882251092,2.597878341,0.144377924
2.142400688,1.744846781,2.127255577,0.188058572
2.013214817,1.09075507,1.789213188,0.191978283
1.866930884,2.419515096,2.866190907,0.0786636
2.024001856,1.305663799,1.638588401,0.211112947
2.819340064,2.371764369,2.943821726,0.100728986
2.687480732,1.072925142,2.3681238,0.142293807
2.5779781,1.326352942,1.400343495,0.154700185
2.333698895,2.985537829,2.871193157,0.051875064
1.999854129,2.462284206,1.292872866,0.240664649
1.465701354,2.379421635,1.202378472,0.263509321
2.310782663,2.885102804,1.880156884,0.127276403
1.903228483,1.472264374,2.960972066,0.162743142
1.882887248,2.861056088,1.993694562,0.099296348
2.390499516,1.14313484,2.31256709,0.165220927
2.513250231,1.459779981,1.324867442,0.171627401
2.872445616,1.552745134,1.146664994,0.133089309
2.081204163,2.837674839,1.031976599,0.270416993
1.327928751,2.148462157,1.51849938,0.219610741
1.479542911,2.074522994,1.912010758,0.177147427
2.563686734,1.624656685,1.229625476,0.17844769
2.820990371,1.923252312,2.754106904,0.137420761
1.210243244,1.781004416,1.665923178,0.24412819
1.180783339,1.500009145,1.376110526,0.322039665
1.340673541,2.21351284,2.901682122,0.076638623
1.920797859,1.209134991,2.098026598,0.204534436
1.035823039,2.709087882,1.154372257,0.188597843
2.254132457,1.994707636,2.24788974,0.164017537
1.952180219,2.66430722,2.477793935,0.082190663
2.495014339,2.768299867,2.416015291,0.095541326
1.13118837,1.497053867,2.464183452,0.196512572
2.785010911,2.08330677,1.469166752,0.196927399
2.37703073,2.867638397,1.860162537,0.133303157
1.583675345,1.631155718,2.610263903,0.169771643
1.186660652,2.807641029,2.306890013,0.046185983
1.342871572,2.318096887,1.882555545,0.141370644
2.97778832,2.630615146,1.120814486,0.210520664
1.742238622,1.531463131,2.800112743,0.167820499
2.448623772,2.269664793,1.097280493,0.236581469
1.208724822,2.47721851,2.075476965,0.092551681
1.855735691,2.895447923,1.386208587,0.180644671
2.890854019,1.09717236,1.882901042,0.125205004
1.371388768,2.065589967,2.426321628,0.123852555
2.940512368,1.529760381,2.555893563,0.150267799
2.767250815,2.804571953,2.387319469,0.101940898
1.458988491,2.62485884,1.977712339,0.101250272
2.574466167,2.851357831,2.660280751,0.076741604
2.725284181,2.033095303,2.34126327,0.153792975
1.467576215,2.733221074,1.975378466,0.090694989
1.425413499,1.198472249,1.742226187,0.264947705
1.347650899,2.398830924,2.236013562,0.097124094
1.770445138,1.087018813,1.126790044,0.200481849
2.431039186,1.749248494,2.710026883,0.150947473
2.266187887,2.566043573,2.243090006,0.118328788
1.027667521,2.805049592,2.600309709,0.028796812
2.304509036,2.375222573,2.72882819,0.102116888
2.153446061,2.718663012,1.327643765,0.217855009
1.286110901,2.419131291,1.795257013,0.134754278
2.705189614,1.868306948,1.094561756,0.177950221
2.358601439,1.574446254,2.032465721,0.188493136
1.119959045,2.063156976,1.066143827,0.336168699
2.083283934,1.2694259,2.102648841,0.195144501
2.973319655,1.354503572,1.439931266,0.127873801
1.081311974,1.213506201,2.582281547,0.231283734
2.446839799,1.220054899,1.499742498,0.15910921
2.908324779,2.831541544,1.404114183,0.197810274
2.235814699,1.71702621,1.109787467,0.217745678
2.139348183,2.679483134,2.12497668,0.114432391
2.260712235,2.553803232,1.957305587,0.145747498
2.153823152,1.736285283,1.720046239,0.214117229
1.155522198,2.14911221,1.029402423,0.336658206
2.434487263,1.060376529,1.098008663,0.10745627
1.228400914,2.042951137,2.186455638,0.140269986
2.386742301,1.774806674,2.213941982,0.176124046
2.575208508,1.013487231,1.031286813,0.081438168
1.186851516,2.144787977,1.097016954,0.31595444
2.576679763,1.799634119,2.1948949,0.171932563
2.255565023,1.41707238,2.84335624,0.162946075
2.880369262,2.300830857,1.014018121,0.191839807
1.586754072,1.750312519,1.50947677,0.261538715
2.778583701,2.006519553,1.491008046,0.194128352
2.044192652,2.97310976,1.495116232,0.16190582
2.734996485,2.822007757,1.94650936,0.137137823
1.479308806,2.556941731,1.856126884,0.123158256
2.70148069,1.114127837,2.723669026,0.143840543
2.540754991,2.516330617,2.258515347,0.127791885
2.176681989,2.51940308,1.266794326,0.239142302
2.357399452,1.921396896,2.183246236,0.17227541
2.684608473,1.462834448,2.739360908,0.153263554
1.576544754,1.213592756,2.876959001,0.193203155
2.793605823,2.160899354,2.500508519,0.137911562
1.38523986,1.2756367,1.516770194,0.286173905
2.307483444,2.026451988,2.840125146,0.124817975
1.40750194,1.424052383,1.890023193,0.250200173
1.799681364,1.331138285,2.899905486,0.177221552
1.630538788,2.572162999,2.091848427,0.105833022
1.776040007,1.870234278,1.971341117,0.19767044
1.243950003,2.868971794,1.684509373,0.090512788
1.711658929,1.955714611,2.499108023,0.143063439
1.153557681,1.033762117,1.064323338,0.324685976
1.99343636,2.088251508,2.343020073,0.146921507
2.285275415,1.264236244,2.185326341,0.180090569
1.02773092,2.261409876,1.086391987,0.292197386
2.890801692,2.933021878,2.457836455,0.091260649
2.890489146,1.319374379,2.951898288,0.141264966
2.916909205,1.93645384,2.326783615,0.155534237
1.853511892,1.821975529,1.75722953,0.220901288
1.926055254,2.57906016,2.233547724,0.106288817
1.884537147,1.387045657,1.454992947,0.234249355
1.036577124,1.61791619,2.290834791,0.189908771
2.721987451,2.50195522,1.851981116,0.166348099
2.158137999,1.381435108,1.817684898,0.201678003
2.60370908,2.199241714,2.352222738,0.144136362
1.439499988,2.025862435,2.816309956,0.105801047
2.988895023,1.142952902,2.670335255,0.13283954
2.485081284,2.923775249,1.524651642,0.176254415
2.487947724,2.91325481,1.786644552,0.14171279
2.639065808,2.952482546,2.756197796,0.066810661
1.563303205,2.890382145,1.662038724,0.115461963
1.236453704,2.781807861,2.271970313,0.052318625
2.119786008,2.899857644,2.863645665,0.051482171
1.506471644,1.552747207,2.535627376,0.183638632
1.234875582,2.438637723,1.974575911,0.10823158
1.608636995,1.38327114,2.893997935,0.178150494
1.63135773,2.083085267,1.472052258,0.241496458
2.883331008,2.747073706,2.138395545,0.127574565
1.112306294,2.731708344,1.712216107,0.091199621
2.066075309,2.986870688,2.931895204,0.042561493
2.367752545,2.035187858,2.533254157,0.142361279
2.049395929,2.561922619,1.385619703,0.21805319
1.855967476,2.634997156,1.976281183,0.121600422
1.661801741,1.159744648,2.727937556,0.198055957
1.258510433,2.498786742,2.323921835,0.075179311
1.510878321,1.727376276,1.656554703,0.248093029
2.576593741,1.055129641,1.18548649,0.103165895
2.167492082,1.075757428,2.851025785,0.167040227
2.409338231,1.847309445,2.818059178,0.139876289
1.579161529,2.94834734,1.783768847,0.095616249
2.565293705,2.020769633,1.15556339,0.210260129
2.154302728,1.256864779,2.351957413,0.183791699
1.20569582,2.963874912,2.675428786,0.025728723
2.828395142,2.981088947,2.235520748,0.10234296
2.672545342,2.510753973,1.042630962,0.228723315
2.826402794,2.422366351,2.586177343,0.116680062
2.565068802,2.397852565,2.833168687,0.100139968
1.806868218,2.797719199,1.512047047,0.164803125
2.739033569,1.597809481,2.60234361,0.154823606
2.222672943,1.953090765,2.857422512,0.128981152
2.747667412,1.907316014,2.150454881,0.167851562
1.299679908,1.228652501,2.771163494,0.208409249
2.896918273,1.463274808,1.674802436,0.154113615
1.237251117,1.725229834,1.367180529,0.301242038
2.498301376,1.578476448,1.670852924,0.189996997
1.136202101,1.72680035,2.537532652,0.153661976
1.890870242,2.576011113,1.882794766,0.139480383
2.409467756,1.171458852,1.087777577,0.124156132
1.995157698,1.709828195,1.990976958,0.202803754
1.493602043,1.128157299,2.245545888,0.23105424
2.699510129,2.980815272,1.555010779,0.171973847
1.918237417,2.284097149,1.847858263,0.173977173
1.903637126,1.893816707,2.705943983,0.139161402
1.263787122,1.748942201,2.192150319,0.1846633
2.698677506,1.713566597,1.058557169,0.157930758
2.392861372,2.248530258,2.723252446,0.114633326
2.081774543,1.784373563,2.415734852,0.167794691
2.501618718,2.080587106,1.169223671,0.220880452
2.087352428,2.165790742,2.592555268,0.123795478
2.414389566,1.961382934,1.882749821,0.190109123
2.712361273,2.208345472,1.582671558,0.197213472
1.810398133,2.808884344,2.162394828,0.085948551
1.424826856,1.258801106,1.583399971,0.276233297
1.428251279,2.768601173,1.161538948,0.222170636
1.884265853,1.940417635,1.979779186,0.190670105
1.260278021,1.256821781,2.671270178,0.212783875
2.390474878,1.621846723,2.38296587,0.172061009
1.232152427,2.4917205,1.563787853,0.15420595
1.655694263,1.270757883,2.114276261,0.224186813
2.740523334,2.004482022,2.989610257,0.122320461
1.681457591,1.071254742,1.137602735,0.213939844
1.035431583,1.849454695,2.497804987,0.132406996
2.663720891,2.687076048,2.250400863,0.118260383
1.907457138,1.121015075,1.041316741,0.175424318
2.304318605,1.696308296,2.457400076,0.16779313
2.521213125,2.757449849,1.6674719,0.168967598
1.438356323,1.059207361,1.292209385,0.264018581
2.728755987,2.518420019,2.574495456,0.109161153
1.92509885,2.049702863,1.97240467,0.182217474
2.912903205,1.484075457,1.693944566,0.155206203
1.400847051,1.122116741,2.659545156,0.217780308
2.455087529,1.387248452,2.484626244,0.16794502
2.833930771,2.437239064,2.964171302,0.095486909
2.583716703,1.700374643,1.123835462,0.176050264
1.348265612,1.084168449,1.325084622,0.285210521
2.906432947,2.253752152,1.593264569,0.18950754
2.996424619,2.477782218,1.68296833,0.179477277
1.94737239,2.642379381,2.795763628,0.066654563
2.576027215,2.999943021,2.724415986,0.063743334
1.576052997,2.710559864,2.252698023,0.076839413
2.779197452,1.789507702,2.520679963,0.153206055
1.24625923,2.815548069,1.201604988,0.185556215
2.093811388,2.542751542,1.678089163,0.17567448
1.521000843,1.559650361,1.092383419,0.307736347
1.455187645,1.475856177,1.907173013,0.242693997
1.288132703,2.022364281,2.154072168,0.149472905
2.685370063,1.647808203,1.710766717,0.181055672
1.66305149,1.707434978,1.671408667,0.242203368
2.312301151,1.952523366,1.06769822,0.22859491
1.551208366,1.281921893,2.297226358,0.220308301
2.051697789,1.777175399,2.425144278,0.167886378
2.529262695,2.024775037,1.265813584,0.215422048
1.248556729,2.52227094,2.936362363,0.044839698
2.438318536,2.814382886,1.470290481,0.191113906
2.012212447,2.771354479,2.535965623,0.072321758
2.031553525,1.159420065,1.390987654,0.190604466
1.146822163,1.019006643,1.271663866,0.321923387
2.409816943,2.933025809,1.226525433,0.22409721
1.996005339,2.591720023,1.91753889,0.138160979
2.873766227,1.949941992,1.517080899,0.185656354
2.554960447,2.260263003,2.824806887,0.110778321
2.449390789,2.129615588,1.771135829,0.192356662
1.472913364,1.353841551,1.007994489,0.295431358
1.960644376,1.226303536,1.447896323,0.20948661
2.375030102,2.047037601,1.956969081,0.182155115
1.786551904,1.783411276,2.238323216,0.181809744
2.418239598,2.906426158,2.837330252,0.060301466
2.747351132,1.758114905,2.332912492,0.162280082
2.624345841,2.047744866,1.156612342,0.206604898
1.191352318,1.464562418,2.578680791,0.192718166
1.602976672,1.397245609,1.296956874,0.274616496
1.506958708,1.820520466,1.549584163,0.254543255
2.405551955,2.547653893,1.25496819,0.233244922
1.509022504,2.876297237,2.224916142,0.061512758
2.830030832,2.723670805,1.570228287,0.184155388
1.69866264,2.657350614,1.978008042,0.111420687
2.34925848,2.509197823,2.752268838,0.09107123
2.777486856,1.821971295,2.182596395,0.166908425
1.23407813,2.828402773,1.748314213,0.086973509
2.061187751,2.067195767,1.230333994,0.256207156
1.055766598,2.226878474,1.923482884,0.128635614
1.00539171,1.745262813,1.736699,0.233938213
2.863346749,2.15800316,2.231176618,0.15387969
2.833704045,2.539151062,2.813181456,0.096038198
1.006036081,1.385338868,2.897685647,0.182657211
1.799317179,2.195166708,1.289693617,0.260309124
2.229160544,2.976565216,2.390991949,0.073227859
1.857222951,1.793819976,1.370165844,0.257655186
2.997395528,1.521143042,1.079675095,0.110700394
2.406249359,1.737676718,2.862663152,0.144706898
2.315034345,2.845897933,2.033531609,0.114794323
1.354371579,1.580668023,1.886505781,0.239258207
2.190107241,1.081780003,2.888795223,0.165346778
2.367737617,1.681446448,2.609619118,0.159891488
2.970209895,2.592246716,2.441671981,0.116629691
2.899474601,2.643840292,1.726713529,0.171328413
2.59058309,2.267508637,2.979812146,0.102936598
2.812010508,1.440827407,1.909409939,0.160801624
2.538903566,1.38399327,1.151007287,0.14599627
1.880713737,1.351193343,1.756865094,0.224310137
2.960821993,1.59416111,1.560919621,0.157484281
1.062742934,2.646292816,2.055059827,0.066154121
2.795739113,2.375405018,1.597623568,0.192095449
1.297753025,2.22001678,2.168756397,0.121602342
2.015249843,1.292460953,2.916542883,0.17159572
1.495372029,2.497110346,1.758409871,0.143695528
2.585636392,1.306718776,1.400472643,0.15172049
2.850694623,1.987741277,1.047532153,0.169688128
2.701413502,2.199729891,2.110026891,0.160838747
1.986226292,2.30479896,1.663129779,0.196243539
2.644717851,1.440583593,1.091348582,0.1354017
2.281400148,1.517287063,2.331460245,0.179740938
2.434181893,1.126197625,2.891420733,0.154919841
1.610758915,2.868780399,2.429554426,0.055338527
2.570437475,2.361952707,1.156046233,0.22933393
2.985313931,2.416103154,2.003843845,0.157585262
2.397223108,1.69863077,1.729016068,0.199958971
2.066216412,1.482680587,1.80738147,0.212414923
1.168602908,2.820021606,2.170254603,0.05111979
1.083205448,2.456204617,2.38230898,0.065558002
1.13493573,1.747291531,1.338111038,0.308072817
1.053233186,2.255050484,1.505479299,0.185473312
1.134183004,1.938374115,2.551785791,0.120349452
1.36114195,2.498459022,1.62958922,0.153060298
1.097146354,2.815944612,2.583328004,0.031459523
2.334995297,1.852772848,1.994747189,0.187917254
1.317533105,2.082793573,1.479628985,0.235733478
2.309760866,2.009791749,1.007668118,0.230762506
2.769532378,2.576072525,2.295159357,0.124810901
2.451690628,2.180324121,1.593391987,0.205510328
1.674235588,1.253522479,2.591482119,0.199892644
1.916326487,1.045023549,2.272797956,0.192531862
2.627224217,2.016557789,1.194654027,0.205363061
1.308565254,2.006474487,2.055845052,0.162898493
2.738817673,2.2073933,1.625114682,0.193655107
1.256434065,1.557029007,2.287412182,0.203266532
1.114388997,1.171159129,2.144872404,0.267615152
1.413614503,1.160119181,1.301185177,0.282638107
1.895557553,2.857651155,1.571256242,0.15326698
2.318624547,1.348256063,2.312023408,0.178182899
2.242955261,1.656673749,1.32915637,0.217762025
1.120825564,1.23733977,2.201566915,0.255839221
2.135682217,1.817113975,1.474570452,0.230400832
2.195427746,2.118839069,1.599915362,0.213776542
1.207638669,1.708787474,1.088061173,0.358277488
2.969926717,1.288175663,1.671926455,0.132833664
2.201470979,2.257662778,2.270015125,0.141221281
2.821693413,2.045399012,1.63533984,0.188831604
2.523887474,2.366101054,2.376586153,0.129961276
2.354013909,2.470168882,2.694260246,0.097564694
1.540786393,2.286939316,1.765952223,0.171508947
2.896092494,1.166205815,2.724353476,0.138036603
1.827246294,2.601863878,1.953946315,0.126033059
2.467608721,2.176069917,2.184114767,0.156990555
2.015228758,2.832982042,1.542271256,0.166244265
2.406149714,1.040668449,2.477023142,0.156064586
2.893125789,1.347441011,2.509275637,0.148293056
1.915484806,1.70020887,2.083804334,0.198566599
